Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(516, 0.04439937463040382)","(123, 0.052671030255264636)","(546, 0.04728433996970048)","(479, 0.04901427942600265)","(121, 0.0)","(279, 0.05276844403972843)","(644, 0.03652383622692373)","(115, 0.05239352108101259)","(7, 0.058868904996907515)","(39, 0.0350823202986404)","(251, 0.0)","(537, 0.03162640020097219)","(652, 0.004785671891805365)","(107, 0.0)","(191, 0.0041768244540264605)","(470, 0.0)","(19, 0.0453629518996439)","(479, 0.04705052037727247)"
"(533, 0.04391223188748867)","(331, 0.052486429132990696)","(312, 0.047219809678550405)","(623, 0.04899796001859374)","(128, 0.0)","(191, 0.05269174126201332)","(59, 0.03642964658508585)","(448, 0.051157013489753746)","(138, 0.058722815055756925)","(584, 0.03495918134263319)","(253, 0.0)","(510, 0.030692070693084612)","(98, 0.0)","(108, 0.0)","(1, 0.0)","(471, 0.0)","(67, 0.045274903503903265)","(114, 0.04697310770129484)"
"(250, 0.04360065216587518)","(93, 0.05242445595902454)","(406, 0.04714313095504043)","(516, 0.04896688682715132)","(138, 0.0)","(490, 0.05193314191049086)","(180, 0.03627296136714114)","(492, 0.051080448676497935)","(8, 0.05872067704449327)","(21, 0.034949386247700893)","(256, 0.0)","(192, 0.03066059209053274)","(101, 0.0)","(11, 0.0)","(10, 0.0)","(472, 0.0)","(157, 0.045060838119131315)","(401, 0.04683037394622654)"
"(228, 0.043444117285174354)","(220, 0.05240544821988376)","(479, 0.04713647688345606)","(35, 0.0487383449133794)","(139, 0.0)","(499, 0.051004119243918795)","(441, 0.03611301544291301)","(12, 0.050733082843361414)","(206, 0.05862915943256514)","(465, 0.034357440582479026)","(26, 0.0)","(614, 0.030644907124574936)","(107, 0.0)","(115, 0.0)","(101, 0.0)","(473, 0.0)","(263, 0.04503969389773692)","(277, 0.04658156241731163)"
"(568, 0.04313829653696019)","(273, 0.052218822782122414)","(491, 0.046912202634548476)","(10, 0.048450456546592365)","(141, 0.0)","(37, 0.05067464837797484)","(17, 0.03604861562365055)","(660, 0.050568402089604385)","(124, 0.058504811336867905)","(332, 0.03278353441379303)","(261, 0.0)","(295, 0.030554367267546657)","(108, 0.0)","(12, 0.0)","(105, 0.0)","(474, 0.0)","(487, 0.044981334259800915)","(410, 0.046572438932574706)"
"(13, 0.042976073329419155)","(644, 0.05208514704332105)","(623, 0.0467696441589167)","(635, 0.0482171822660898)","(142, 0.0)","(133, 0.05054520459515875)","(208, 0.036046442650460433)","(37, 0.04966554711824426)","(579, 0.05838204770199994)","(389, 0.031715500253122475)","(268, 0.0)","(151, 0.03051276496218083)","(11, 0.0)","(120, 0.0)","(107, 0.0)","(476, 0.0)","(674, 0.04489551039243458)","(221, 0.04619421144311299)"
"(113, 0.042852954003587636)","(306, 0.051636003195346794)","(167, 0.046683564828643116)","(460, 0.048173211272712964)","(144, 0.0)","(476, 0.05050527529714118)","(271, 0.03570678839357842)","(120, 0.04926993537448859)","(85, 0.05815186890309226)","(276, 0.030541233072171246)","(270, 0.0)","(6, 0.030431640560194262)","(115, 0.0)","(123, 0.0)","(108, 0.0)","(477, 0.0)","(647, 0.04481042171603451)","(204, 0.04612501323196928)"
"(303, 0.04253961961994531)","(243, 0.05147493003343427)","(277, 0.04657087752757527)","(26, 0.04810661671317039)","(145, 0.0)","(647, 0.050293865223724775)","(10, 0.03564292194889896)","(503, 0.04818876198863533)","(263, 0.05653345824886668)","(501, 0.028829858318226577)","(271, 0.0)","(245, 0.030388292136196576)","(117, 0.0)","(124, 0.0)","(11, 0.0)","(478, 0.0)","(100, 0.044636065775231756)","(461, 0.04609785416619979)"
"(624, 0.04253874853996641)","(162, 0.051143666999402426)","(446, 0.04646628412922519)","(176, 0.04806976453101011)","(146, 0.0)","(226, 0.050181940864087164)","(578, 0.03548219576006645)","(96, 0.04815788024674416)","(135, 0.05519391327603677)","(45, 0.028117980636221215)","(273, 0.0)","(201, 0.03028362812294988)","(12, 0.0)","(126, 0.0)","(110, 0.0)","(48, 0.0)","(610, 0.04459766362237934)","(542, 0.04585546362638037)"
"(589, 0.04215727908116774)","(668, 0.05111436648079274)","(466, 0.046458557013304154)","(517, 0.04758744395919044)","(148, 0.0)","(104, 0.0500626510357354)","(681, 0.03524414412560578)","(81, 0.04799433131575707)","(83, 0.055020186199674005)","(110, 0.027939009625371762)","(274, 0.0)","(384, 0.030161214046425328)","(121, 0.0)","(143, 0.0)","(121, 0.0)","(481, 0.0)","(471, 0.044460481487344855)","(508, 0.04584308674585479)"
"(442, 0.041822415482284124)","(143, 0.051051513170529327)","(410, 0.046446138397760205)","(624, 0.047465820574804994)","(149, 0.0)","(78, 0.04942065095806642)","(87, 0.034840022055231464)","(69, 0.04734462555754473)","(499, 0.05474869314198227)","(309, 0.026662665692358783)","(276, 0.0)","(398, 0.030032128035660036)","(131, 0.0)","(144, 0.0)","(126, 0.0)","(482, 0.0)","(574, 0.04404235043539418)","(317, 0.045776177183409955)"
"(1, 0.041686172186626846)","(108, 0.051023759188799096)","(423, 0.046444198928996316)","(230, 0.04738282437269257)","(157, 0.0)","(406, 0.04780101110034112)","(248, 0.034811989346824446)","(5, 0.046629331673307295)","(445, 0.0540570209274089)","(326, 0.026509280896784608)","(279, 0.0)","(591, 0.02985016627862948)","(136, 0.0)","(145, 0.0)","(137, 0.0)","(486, 0.0)","(539, 0.044003675281369066)","(538, 0.04562217406452322)"
"(670, 0.04164017588331077)","(429, 0.050851538334512766)","(461, 0.04620145776527021)","(300, 0.04715536197080092)","(159, 0.0)","(126, 0.046488287419838896)","(35, 0.03477477593689855)","(663, 0.04627718989679405)","(20, 0.053741102236617676)","(558, 0.025383772976926476)","(285, 0.0)","(638, 0.029665177836931823)","(138, 0.0)","(146, 0.0)","(138, 0.0)","(487, 0.0)","(128, 0.04398690839690831)","(505, 0.045515404766945794)"
"(406, 0.04153115624523127)","(476, 0.05064967079122777)","(463, 0.046166908809655204)","(565, 0.04713306784749439)","(161, 0.0)","(322, 0.04628581553542764)","(327, 0.034395417995662446)","(18, 0.04610307347721516)","(122, 0.053689655290132275)","(492, 0.024925751546182068)","(292, 0.0)","(669, 0.029577859217163733)","(139, 0.0)","(147, 0.0)","(139, 0.0)","(488, 0.0)","(200, 0.04373235498385003)","(136, 0.045255747287096665)"
"(410, 0.04099302300769841)","(422, 0.05040059690653224)","(24, 0.04612319631889631)","(130, 0.04706784852622197)","(163, 0.0)","(632, 0.046228884669469644)","(494, 0.03391095420230272)","(193, 0.04607869005150687)","(321, 0.053675186726520836)","(561, 0.02289953036642526)","(297, 0.0)","(297, 0.029141978172499368)","(140, 0.0)","(149, 0.0)","(146, 0.0)","(49, 0.0)","(74, 0.04355652765925159)","(487, 0.04519860022194713)"
"(51, 0.03983547150889378)","(530, 0.050237954622168325)","(621, 0.04588051042342602)","(52, 0.04704135707974228)","(168, 0.0)","(202, 0.04493337422140366)","(670, 0.033691076132657566)","(6, 0.04572539242858732)","(78, 0.053105792823841584)","(616, 0.02077400305105142)","(3, 0.0)","(248, 0.029018926150279935)","(141, 0.0)","(159, 0.0)","(148, 0.0)","(490, 0.0)","(138, 0.04352346128552452)","(291, 0.04487679434315943)"
"(126, 0.039654940117222766)","(115, 0.049862054108934885)","(84, 0.04571438354034065)","(111, 0.046860110830723174)","(17, 0.0)","(138, 0.04421869267866698)","(565, 0.03366528673070059)","(10, 0.045221776624622234)","(317, 0.05221301473533223)","(626, 0.019406154290282317)","(30, 0.0)","(135, 0.028807809920178645)","(142, 0.0)","(17, 0.0)","(150, 0.0)","(491, 0.0)","(124, 0.0431724042695762)","(6, 0.04482110880678572)"
"(87, 0.03907996206194058)","(327, 0.04969213762994254)","(392, 0.04571396113502467)","(663, 0.04669646817229086)","(173, 0.0)","(589, 0.04420085044976074)","(477, 0.03353785525499419)","(302, 0.045182443402255204)","(90, 0.04980413595103378)","(295, 0.019397377214114164)","(303, 0.0)","(272, 0.028202744048302673)","(145, 0.0)","(175, 0.0)","(157, 0.0)","(492, 0.0)","(192, 0.043069227856176985)","(421, 0.04451053613041905)"
"(518, 0.03895704823741731)","(35, 0.04942685226062952)","(508, 0.04567771043885153)","(3, 0.046676705581215346)","(177, 0.0)","(628, 0.043996289416789805)","(678, 0.032992606683991295)","(322, 0.04477317118247195)","(655, 0.047186827894659736)","(40, 0.018898004014682074)","(304, 0.0)","(104, 0.027822231304750127)","(146, 0.0)","(176, 0.0)","(159, 0.0)","(493, 0.0)","(16, 0.0429829067372625)","(87, 0.0445023366642506)"
"(95, 0.03894366793787954)","(65, 0.04929164864912694)","(442, 0.04552089125613804)","(72, 0.046281523756855875)","(180, 0.0)","(189, 0.043990491380262946)","(571, 0.032521072810271945)","(418, 0.04462958964153633)","(110, 0.04602901131171564)","(548, 0.01831070934078521)","(306, 0.0)","(634, 0.027798844349842124)","(148, 0.0)","(183, 0.0)","(161, 0.0)","(494, 0.0)","(469, 0.04289694519917466)","(278, 0.04433785288425912)"
"(52, 0.038861418371498216)","(250, 0.049244557854067283)","(51, 0.04550645160769836)","(28, 0.04627218448559478)","(183, 0.0)","(5, 0.043655389207019266)","(332, 0.03218903139593081)","(71, 0.04438571418715019)","(297, 0.04532234748711991)","(446, 0.017692353843077747)","(307, 0.0)","(122, 0.027776617763191954)","(149, 0.0)","(186, 0.0)","(162, 0.0)","(497, 0.0)","(524, 0.04268385447191191)","(413, 0.04429753382055949)"
"(539, 0.038296340287736465)","(620, 0.04899648167867775)","(487, 0.045188231637894094)","(406, 0.04612548519876952)","(185, 0.0)","(584, 0.043581143987548275)","(410, 0.03218360058043867)","(19, 0.044141079570178356)","(221, 0.043640601603956324)","(90, 0.014423848164877302)","(313, 0.0)","(489, 0.027698272283457392)","(150, 0.0)","(19, 0.0)","(163, 0.0)","(498, 0.0)","(86, 0.04256801451578737)","(303, 0.044249013232295596)"
"(100, 0.03744257088766032)","(568, 0.0488265260916678)","(505, 0.04515433604176468)","(204, 0.04582633616241909)","(187, 0.0)","(441, 0.04351806331342608)","(631, 0.03209191506417433)","(88, 0.04376981367639874)","(418, 0.04325989084155958)","(237, 0.010626475126936052)","(319, 0.0)","(120, 0.027653879930715584)","(157, 0.0)","(190, 0.0)","(168, 0.0)","(499, 0.0)","(591, 0.042114547247282384)","(295, 0.044183747345435696)"
"(135, 0.03640214437331972)","(617, 0.048704722274341354)","(556, 0.045150368790351066)","(631, 0.045824465881386625)","(19, 0.0)","(473, 0.04267542698506958)","(263, 0.03183519081159303)","(532, 0.0436851852732012)","(599, 0.04198761326690588)","(221, 0.010510350487731017)","(322, 0.0)","(619, 0.027647723741634034)","(159, 0.0)","(191, 0.0)","(173, 0.0)","(5, 0.0)","(438, 0.04209759071007979)","(52, 0.044150705424317316)"
"(292, 0.03621421966274291)","(132, 0.04866965070053076)","(136, 0.044896739893665216)","(166, 0.04556973947209703)","(192, 0.0)","(612, 0.042536870623914654)","(545, 0.030860393632489307)","(592, 0.043542683390941646)","(596, 0.040167045670805174)","(206, 0.010434075323898043)","(323, 0.0)","(473, 0.027060390306610577)","(162, 0.0)","(193, 0.0)","(183, 0.0)","(500, 0.0)","(209, 0.04203519029535295)","(642, 0.044051945150687985)"
"(462, 0.035659663784837745)","(300, 0.04856191744843998)","(480, 0.04485490110953601)","(317, 0.045479758517762474)","(193, 0.0)","(195, 0.04235490447989823)","(539, 0.030847133672313145)","(218, 0.043327784525897244)","(439, 0.0381382569294756)","(657, 0.009097041129112195)","(327, 0.0)","(539, 0.02674981594996067)","(163, 0.0)","(194, 0.0)","(186, 0.0)","(501, 0.0)","(133, 0.0416651801858613)","(147, 0.04387668057287011)"
"(490, 0.03555600305413229)","(129, 0.04847715399596595)","(291, 0.044769827753038685)","(621, 0.04546550980188279)","(194, 0.0)","(50, 0.04229594221524037)","(304, 0.030447194993506187)","(596, 0.04226998679706044)","(429, 0.0365269477680609)","(10, 0.0)","(328, 0.0)","(330, 0.026457512092662897)","(168, 0.0)","(20, 0.0)","(187, 0.0)","(505, 0.0)","(89, 0.04137173670173844)","(384, 0.04373380647036776)"
"(226, 0.03534245990604967)","(193, 0.04841062893097794)","(6, 0.04455436508402221)","(402, 0.04539430312840911)","(204, 0.0)","(465, 0.0421672817590118)","(452, 0.030001281128505655)","(678, 0.03900716443888557)","(142, 0.036308927299211737)","(101, 0.0)","(329, 0.0)","(92, 0.02615258664087775)","(169, 0.0)","(202, 0.0)","(192, 0.0)","(507, 0.0)","(22, 0.04113043189700712)","(457, 0.04372732637594022)"
"(209, 0.03493014516550761)","(130, 0.04840488431834773)","(421, 0.0445003241336159)","(303, 0.04537537580818542)","(206, 0.0)","(675, 0.04160041376853738)","(675, 0.029655243068935466)","(294, 0.0379855241054503)","(395, 0.036162954234423096)","(105, 0.0)","(330, 0.0)","(202, 0.02497164107309833)","(17, 0.0)","(203, 0.0)","(195, 0.0)","(508, 0.0)","(490, 0.04095979208903503)","(230, 0.04366835419289178)"
"(388, 0.034794975888813556)","(14, 0.04830370003015685)","(87, 0.0444474900664925)","(141, 0.0448115654519579)","(208, 0.0)","(331, 0.03965602628866089)","(83, 0.02945696193992781)","(206, 0.037037465870452535)","(101, 0.03582320290773182)","(107, 0.0)","(331, 0.0)","(465, 0.023434391773917453)","(173, 0.0)","(204, 0.0)","(197, 0.0)","(51, 0.0)","(321, 0.04093554482497512)","(20, 0.04335084407996303)"
"(144, 0.03432237066936768)","(624, 0.04814792378977948)","(303, 0.04432984836579566)","(492, 0.04465436782868166)","(209, 0.0)","(208, 0.03950775357385628)","(183, 0.029447988219381965)","(307, 0.036244059020453634)","(123, 0.035716696854921924)","(11, 0.0)","(332, 0.0)","(655, 0.023324895987018434)","(177, 0.0)","(206, 0.0)","(199, 0.0)","(510, 0.0)","(113, 0.04092839275955828)","(72, 0.04326107100210507)"
"(309, 0.03397506684114331)","(666, 0.04782900064369719)","(428, 0.044261257544584265)","(649, 0.04450233072146079)","(212, 0.0)","(509, 0.039352032224500906)","(43, 0.029248886828037092)","(456, 0.033419869521105275)","(228, 0.035662468099126994)","(121, 0.0)","(34, 0.0)","(332, 0.022192574337212695)","(180, 0.0)","(207, 0.0)","(204, 0.0)","(511, 0.0)","(268, 0.04088748959338362)","(218, 0.043083835919051225)"
"(97, 0.03364097403392144)","(444, 0.04782289194485574)","(295, 0.04404120878792117)","(11, 0.04411124010912549)","(222, 0.0)","(469, 0.039065548842091576)","(195, 0.029234157779426142)","(103, 0.03301661747194782)","(298, 0.035640950096747864)","(125, 0.0)","(37, 0.0)","(460, 0.021538831002893877)","(185, 0.0)","(219, 0.0)","(206, 0.0)","(519, 0.0)","(141, 0.04083182439307358)","(448, 0.042835710605931575)"
"(593, 0.032992593984557325)","(114, 0.0477190738444621)","(124, 0.04401628984235256)","(291, 0.04409630245355327)","(224, 0.0)","(579, 0.03874475554617351)","(297, 0.029137734387171578)","(237, 0.03295750533614412)","(88, 0.03548721146827525)","(129, 0.0)","(385, 0.0)","(76, 0.01956411882889616)","(186, 0.0)","(22, 0.0)","(208, 0.0)","(52, 0.0)","(46, 0.04009751301695966)","(187, 0.042784645927799556)"
"(428, 0.032868682308709624)","(312, 0.04764580032470186)","(562, 0.04400665674302542)","(278, 0.0439070180375573)","(226, 0.0)","(2, 0.03859822621310145)","(490, 0.028951411981895166)","(186, 0.03139205256163029)","(208, 0.03548346713975453)","(131, 0.0)","(388, 0.0)","(45, 0.018898436783570612)","(187, 0.0)","(220, 0.0)","(209, 0.0)","(520, 0.0)","(226, 0.03969844695293177)","(95, 0.042757949181047625)"
"(168, 0.03270959405572941)","(572, 0.04761793712652049)","(413, 0.043946126739418064)","(642, 0.043313887476822445)","(228, 0.0)","(422, 0.03858637434719226)","(420, 0.028873986857727765)","(8, 0.030211466943308507)","(279, 0.03520381885012553)","(136, 0.0)","(391, 0.0)","(199, 0.018002590142962682)","(192, 0.0)","(221, 0.0)","(22, 0.0)","(523, 0.0)","(388, 0.03949977418149528)","(268, 0.04269245846781445)"
"(506, 0.03250408295034328)","(144, 0.04724571507809819)","(147, 0.043866613797970896)","(128, 0.043179396695520234)","(237, 0.0)","(35, 0.037840881899803495)","(141, 0.02839475191814116)","(608, 0.02836634784930037)","(582, 0.03515752046038528)","(138, 0.0)","(392, 0.0)","(215, 0.01691502531805564)","(193, 0.0)","(224, 0.0)","(222, 0.0)","(528, 0.0)","(36, 0.0394649641071492)","(22, 0.04268669452827671)"
"(627, 0.03203049416272315)","(13, 0.04721201139525029)","(457, 0.04371729656402735)","(124, 0.043083470112004384)","(247, 0.0)","(319, 0.0378076953556083)","(78, 0.027850925017916115)","(70, 0.027784058676169916)","(630, 0.03499886708860862)","(139, 0.0)","(393, 0.0)","(144, 0.015901729940912053)","(198, 0.0)","(23, 0.0)","(226, 0.0)","(529, 0.0)","(120, 0.03901588070757895)","(549, 0.04266612629258085)"
"(416, 0.03164017447001751)","(406, 0.04712335360337079)","(504, 0.043649653621095165)","(585, 0.04289799629531887)","(248, 0.0)","(234, 0.03778709952510077)","(469, 0.027724439548274006)","(3, 0.027521809961060992)","(243, 0.03480682900776574)","(141, 0.0)","(4, 0.0)","(612, 0.014943691853673806)","(199, 0.0)","(234, 0.0)","(234, 0.0)","(53, 0.0)","(307, 0.038357599307353864)","(79, 0.042449784210928654)"
"(584, 0.03061247256883353)","(167, 0.04706764340480015)","(471, 0.04354399980094331)","(138, 0.042668735307885994)","(251, 0.0)","(100, 0.037365996837220125)","(221, 0.027485637704141086)","(138, 0.026956241910888662)","(93, 0.03480601584647052)","(146, 0.0)","(406, 0.0)","(18, 0.014697742166429465)","(206, 0.0)","(243, 0.0)","(250, 0.0)","(530, 0.0)","(76, 0.037690715680978)","(595, 0.042302690897089344)"
"(251, 0.02984596048228278)","(277, 0.046954029453364896)","(125, 0.043345940569027214)","(304, 0.04262075607111253)","(256, 0.0)","(141, 0.03714258291661778)","(95, 0.026965483340381614)","(47, 0.02674660828629603)","(523, 0.034641231958914165)","(154, 0.0)","(410, 0.0)","(657, 0.006291589309171476)","(208, 0.0)","(244, 0.0)","(251, 0.0)","(531, 0.0)","(548, 0.037221073751208526)","(109, 0.0420832267376693)"
"(115, 0.029566159196337583)","(410, 0.04686514962156559)","(618, 0.04329064533887582)","(537, 0.04261152814996195)","(26, 0.0)","(198, 0.03690290349801269)","(150, 0.0268141040755951)","(129, 0.026680788676094903)","(71, 0.034503893558119315)","(162, 0.0)","(418, 0.0)","(10, 0.0)","(209, 0.0)","(253, 0.0)","(256, 0.0)","(533, 0.0)","(330, 0.03698191866643175)","(89, 0.04173667315625489)"
"(443, 0.02890657212397001)","(491, 0.046706258011139284)","(201, 0.04325879387685685)","(456, 0.0421919793927464)","(263, 0.0)","(329, 0.03668650026682587)","(253, 0.026760645107980548)","(14, 0.026679584202298295)","(179, 0.0344216528111733)","(163, 0.0)","(420, 0.0)","(100, 0.0)","(212, 0.0)","(26, 0.0)","(26, 0.0)","(534, 0.0)","(585, 0.036958001410009135)","(583, 0.04170672276409229)"
"(648, 0.02876856146332518)","(47, 0.04659848486626159)","(427, 0.04300049751472897)","(524, 0.04194132163273542)","(273, 0.0)","(73, 0.03640109822909225)","(529, 0.026224169733954972)","(221, 0.0258223973104797)","(75, 0.03423492586704973)","(168, 0.0)","(421, 0.0)","(105, 0.0)","(216, 0.0)","(263, 0.0)","(261, 0.0)","(536, 0.0)","(593, 0.035676474718633035)","(506, 0.04169524547323281)"
"(439, 0.026035524244270667)","(623, 0.04656432500247967)","(218, 0.04282743284038162)","(74, 0.04177536755333161)","(274, 0.0)","(227, 0.03634806520739013)","(292, 0.025043852023817446)","(505, 0.02580736891945837)","(63, 0.034141527421002515)","(17, 0.0)","(422, 0.0)","(107, 0.0)","(226, 0.0)","(268, 0.0)","(268, 0.0)","(539, 0.0)","(559, 0.035306214953824855)","(490, 0.041567916353036534)"
"(630, 0.025884398293166487)","(631, 0.04646567021127851)","(448, 0.042800836453187795)","(81, 0.0415429938311372)","(279, 0.0)","(460, 0.03628109663634796)","(149, 0.024591405728977382)","(105, 0.024047541985924785)","(68, 0.034094198465867136)","(173, 0.0)","(423, 0.0)","(11, 0.0)","(228, 0.0)","(27, 0.0)","(270, 0.0)","(54, 0.0)","(149, 0.0350798311082269)","(135, 0.04133260738326993)"
"(500, 0.025502525279315336)","(461, 0.04632269313567163)","(187, 0.0427726891145126)","(209, 0.04120968905069479)","(291, 0.0)","(452, 0.03603659667746763)","(628, 0.024316959375408082)","(160, 0.02397430312279356)","(98, 0.03381314346738161)","(18, 0.0)","(43, 0.0)","(111, 0.0)","(247, 0.0)","(272, 0.0)","(271, 0.0)","(541, 0.0)","(164, 0.035079551148994643)","(41, 0.041299131609799526)"
"(101, 0.025329988070378673)","(446, 0.0461913699029132)","(674, 0.04267112434425025)","(583, 0.04083923362012082)","(294, 0.0)","(27, 0.035522993815543864)","(80, 0.02427777249782567)","(29, 0.02327410762275089)","(224, 0.03358944148943998)","(185, 0.0)","(441, 0.0)","(125, 0.0)","(248, 0.0)","(279, 0.0)","(273, 0.0)","(542, 0.0)","(125, 0.034980853487514806)","(540, 0.041250724361570845)"
"(392, 0.025044183621873724)","(508, 0.04594107105429862)","(268, 0.04263984485112534)","(79, 0.04075904739818227)","(301, 0.0)","(107, 0.035457090426913716)","(219, 0.024222446423897388)","(472, 0.023259363567032062)","(2, 0.03347039041638127)","(186, 0.0)","(442, 0.0)","(129, 0.0)","(251, 0.0)","(290, 0.0)","(274, 0.0)","(545, 0.0)","(628, 0.03468833184481068)","(233, 0.04057998126226337)"
"(664, 0.024967752577804737)","(621, 0.04567909581980278)","(549, 0.042538556753034036)","(615, 0.04062277109176746)","(302, 0.0)","(571, 0.03529517501031132)","(584, 0.024171632294533583)","(328, 0.0231182232020948)","(680, 0.03328246792179033)","(187, 0.0)","(448, 0.0)","(133, 0.0)","(253, 0.0)","(292, 0.0)","(279, 0.0)","(546, 0.0)","(80, 0.034632431703011154)","(601, 0.040497099001912125)"
"(407, 0.024753273234026364)","(505, 0.045583831408397335)","(16, 0.04245001837174127)","(200, 0.04029011227819396)","(303, 0.0)","(110, 0.03482959306789437)","(26, 0.023766931495641914)","(93, 0.022962136287285637)","(399, 0.03281283566038153)","(191, 0.0)","(452, 0.0)","(139, 0.0)","(256, 0.0)","(30, 0.0)","(285, 0.0)","(548, 0.0)","(4, 0.03413873665178463)","(272, 0.04013077933388392)"
"(194, 0.023883519053577315)","(556, 0.04536179665511877)","(595, 0.04229276723923613)","(83, 0.040157826086073996)","(304, 0.0)","(294, 0.033903511438600244)","(251, 0.02360770133374858)","(573, 0.022498026571579215)","(130, 0.032541381609694824)","(192, 0.0)","(460, 0.0)","(141, 0.0)","(26, 0.0)","(300, 0.0)","(292, 0.0)","(549, 0.0)","(465, 0.033062757348739896)","(226, 0.04001016071582214)"
"(459, 0.023882495730938747)","(136, 0.045323787133386466)","(541, 0.041880682757281074)","(120, 0.040053154861335566)","(305, 0.0)","(74, 0.03279471247777382)","(261, 0.023417215276873207)","(183, 0.022314959076035007)","(253, 0.03222705057819894)","(195, 0.0)","(462, 0.0)","(146, 0.0)","(263, 0.0)","(301, 0.0)","(297, 0.0)","(551, 0.0)","(222, 0.03238061456264868)","(209, 0.0398101409227684)"
"(121, 0.023837816999865296)","(291, 0.0451825278823305)","(590, 0.04183420409544806)","(499, 0.039907265701910145)","(306, 0.0)","(263, 0.03270697800470222)","(456, 0.0228098212480955)","(121, 0.02221950411151474)","(3, 0.032188499544600936)","(196, 0.0)","(464, 0.0)","(154, 0.0)","(274, 0.0)","(303, 0.0)","(3, 0.0)","(556, 0.0)","(332, 0.03209270720072717)","(388, 0.03953079567121479)"
"(93, 0.023796672819059585)","(421, 0.04486644212182658)","(386, 0.041753881839979995)","(321, 0.03985395180598512)","(307, 0.0)","(95, 0.032622189727797485)","(37, 0.022649484601715304)","(190, 0.021761043871446294)","(663, 0.032137783751835576)","(198, 0.0)","(466, 0.0)","(157, 0.0)","(279, 0.0)","(305, 0.0)","(30, 0.0)","(559, 0.0)","(389, 0.03173617917179431)","(600, 0.03905421115295698)"
"(644, 0.023773498870396925)","(85, 0.04478798849778674)","(221, 0.0417171880429881)","(78, 0.03903426800367096)","(322, 0.0)","(22, 0.031822172058445904)","(186, 0.022209600801625467)","(579, 0.021574039054750607)","(28, 0.03190954117280664)","(199, 0.0)","(467, 0.0)","(163, 0.0)","(285, 0.0)","(306, 0.0)","(303, 0.0)","(560, 0.0)","(186, 0.0316821707813122)","(309, 0.03846217312982977)"
"(637, 0.02375511727443041)","(87, 0.04443733487144074)","(305, 0.041583287388099924)","(122, 0.03897878628257116)","(323, 0.0)","(548, 0.03149716253937965)","(489, 0.02147823267949685)","(597, 0.021317051051072254)","(67, 0.03147936158517458)","(204, 0.0)","(469, 0.0)","(168, 0.0)","(29, 0.0)","(317, 0.0)","(304, 0.0)","(562, 0.0)","(8, 0.02830779378959954)","(330, 0.03829915288382303)"
"(679, 0.023541405330712736)","(295, 0.044356226592485094)","(490, 0.04137615058869338)","(468, 0.03850311178792658)","(327, 0.0)","(92, 0.030283216231568516)","(322, 0.02068785743094319)","(491, 0.021004880055683343)","(301, 0.031420105584123434)","(208, 0.0)","(47, 0.0)","(173, 0.0)","(294, 0.0)","(322, 0.0)","(306, 0.0)","(564, 0.0)","(568, 0.027035848204765078)","(585, 0.03760645130023561)"
"(114, 0.02337896393753712)","(64, 0.04424115364788029)","(126, 0.041339141392816574)","(9, 0.0377733969750945)","(328, 0.0)","(307, 0.029676861975724448)","(559, 0.020059326325309355)","(327, 0.0208957159711576)","(534, 0.03138515264858455)","(209, 0.0)","(470, 0.0)","(177, 0.0)","(296, 0.0)","(328, 0.0)","(307, 0.0)","(565, 0.0)","(309, 0.02668004832204934)","(168, 0.037268878487940096)"
"(287, 0.023221360194720913)","(457, 0.04407696976438996)","(135, 0.04132105534940251)","(489, 0.03733484729527667)","(329, 0.0)","(163, 0.02609134121753087)","(173, 0.020005005138022284)","(494, 0.020717243316267512)","(43, 0.031121616009532175)","(218, 0.0)","(472, 0.0)","(179, 0.0)","(297, 0.0)","(33, 0.0)","(319, 0.0)","(568, 0.0)","(646, 0.02246563241966879)","(660, 0.036979750747253404)"
"(202, 0.023163609342531543)","(642, 0.04389984997801406)","(133, 0.04103950898521874)","(548, 0.037291338779230535)","(330, 0.0)","(332, 0.02471724726730262)","(665, 0.019781257564478398)","(141, 0.020681908444481586)","(466, 0.030955090219297557)","(219, 0.0)","(473, 0.0)","(186, 0.0)","(299, 0.0)","(330, 0.0)","(322, 0.0)","(569, 0.0)","(150, 0.01883805484672856)","(134, 0.03693473111931882)"
"(175, 0.023128758892989112)","(278, 0.04388837361616894)","(41, 0.04097150901322446)","(24, 0.036979209961547785)","(331, 0.0)","(186, 0.02424305174105724)","(568, 0.01895247194792659)","(301, 0.020329343706697374)","(650, 0.030927242078396127)","(245, 0.0)","(474, 0.0)","(19, 0.0)","(30, 0.0)","(332, 0.0)","(323, 0.0)","(57, 0.0)","(446, 0.017703887908449904)","(559, 0.03632469837301041)"
"(579, 0.023099035087730566)","(618, 0.04370241681845908)","(113, 0.040809939009593225)","(503, 0.03659425715119807)","(385, 0.0)","(641, 0.024027896388314943)","(564, 0.012913206734797842)","(477, 0.02032210221584172)","(537, 0.030541037877923363)","(251, 0.0)","(476, 0.0)","(191, 0.0)","(301, 0.0)","(35, 0.0)","(327, 0.0)","(571, 0.0)","(221, 0.010674243050043376)","(126, 0.03607523310844347)"
